transition,from_method,to_method,mechanism,status,from_eval_usable,to_eval_usable,from_avg_primary_score,to_avg_primary_score,delta_avg_primary_score,from_worst_primary_score,to_worst_primary_score,delta_worst_primary_score,from_task_gsm8k_score,to_task_gsm8k_score,delta_task_gsm8k_score,from_task_mmlu_score,to_task_mmlu_score,delta_task_mmlu_score,from_task_safety_score,to_task_safety_score,delta_task_safety_score,from_task_humaneval_compile_score,to_task_humaneval_compile_score,delta_task_humaneval_compile_score,from_total_relative_delta_norm,to_total_relative_delta_norm,delta_total_relative_delta_norm,from_routed_relative_delta_norm,to_routed_relative_delta_norm,delta_routed_relative_delta_norm,from_routed_max_tensor_relative_delta,to_routed_max_tensor_relative_delta,delta_routed_max_tensor_relative_delta,from_routed_tensors_gt_1_0,to_routed_tensors_gt_1_0,delta_routed_tensors_gt_1_0,from_routed_tensors_gt_0_75,to_routed_tensors_gt_0_75,delta_routed_tensors_gt_0_75,from_routed_tensors_gt_0_65,to_routed_tensors_gt_0_65,delta_routed_tensors_gt_0_65,from_attention_relative_delta_norm,to_attention_relative_delta_norm,delta_attention_relative_delta_norm,from_attention_changed_tensors,to_attention_changed_tensors,delta_attention_changed_tensors,from_router_changed_tensors,to_router_changed_tensors,delta_router_changed_tensors,effect
source_frontier_to_route_guarded,source_frontier,qwen3_moe_unified_route_guarded_candidate,"enter same-shape average: freeze router, route-conditioned expert weights, small attention step",awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,,0.2856374928013712,,,0.2931251336290252,,,1.327236932104148,,,182.0,,,839.0,,,1156.0,,,0.188546444938151,,,288.0,,,0.0,,awaiting_downstream_eval
route_guarded_to_audit_gated,qwen3_moe_unified_route_guarded_candidate,qwen3_moe_audit_gated_candidate,clip largest routed-expert file-level relative deltas,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2856374928013712,0.263843627182202,-0.021793865619169184,0.2931251336290252,0.2703826752777784,-0.02274245835124683,1.327236932104148,0.7500417154655807,-0.5771952166385672,182.0,0.0,-182.0,839.0,164.0,-675.0,1156.0,1146.0,-10.0,0.188546444938151,0.188546444938151,0.0,288.0,288.0,0.0,0.0,0.0,0.0,"structural_change_only:routed_tensors_gt_0_75:-675,routed_tensors_gt_0_65:-10"
audit_gated_to_trust_region,qwen3_moe_audit_gated_candidate,qwen3_moe_trust_region_candidate,add route/load/category/router-fragility trust-region caps,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.263843627182202,0.2486605810368496,-0.015183046145352402,0.2703826752777784,0.2545180628201444,-0.015864612457633986,0.7500417154655807,0.7500218768922794,-1.9838573301345086e-05,0.0,0.0,0.0,164.0,14.0,-150.0,1146.0,366.0,-780.0,0.188546444938151,0.188546444938151,0.0,288.0,288.0,0.0,0.0,0.0,0.0,"structural_change_only:routed_tensors_gt_0_75:-150,routed_tensors_gt_0_65:-780"
trust_region_to_expert_only,qwen3_moe_trust_region_candidate,qwen3_moe_expert_only_trust_region_candidate,freeze shared attention while keeping trust-region expert rules,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2486605810368496,0.2460330539488216,-0.002627527088027992,0.2545180628201444,0.2545180628201444,0.0,0.7500218768922794,0.7500218768922794,0.0,0.0,0.0,0.0,14.0,14.0,0.0,366.0,366.0,0.0,0.188546444938151,0.0,-0.188546444938151,288.0,0.0,-288.0,0.0,0.0,0.0,structural_change_only:attention_changed_tensors:-288
expert_only_to_tail_trimmed,qwen3_moe_expert_only_trust_region_candidate,qwen3_moe_tail_trimmed_expert_only_candidate,second-stage trim of remaining high-tail routed expert deltas,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2460330539488216,0.2431453154573603,-0.002887738491461317,0.2545180628201444,0.2515307341056426,-0.0029873287145018024,0.7500218768922794,0.650082822181077,-0.09993905471120235,0.0,0.0,0.0,14.0,0.0,-14.0,366.0,80.0,-286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"structural_change_only:routed_tensors_gt_0_75:-14,routed_tensors_gt_0_65:-286"
tail_trimmed_to_searched_cap_law,qwen3_moe_tail_trimmed_expert_only_candidate,qwen3_moe_searched_no_gt065_max_retention_candidate,replace hand-built risk penalties with a uniform searched 0.65 routed-expert cap,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2431453154573603,0.2475948491291486,0.004449533671788297,0.2515307341056426,0.2561337200557829,0.004602985950140304,0.650082822181077,0.6500814121910361,-1.4099900409458854e-06,0.0,0.0,0.0,0.0,0.0,0.0,80.0,245.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,structural_change_only:routed_tensors_gt_0_65:+165
searched_cap_law_to_layer_chunk,qwen3_moe_searched_no_gt065_max_retention_candidate,qwen3_moe_layer_chunk_candidate,apply importance-guided layer/chunk coefficients to high-sensitivity routed experts,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2475948491291486,0.243454300322247,-0.004140548806901595,0.2561337200557829,0.2518503750156321,-0.0042833450401507656,0.6500814121910361,0.6500325043027619,-4.890788827416337e-05,0.0,0.0,0.0,0.0,0.0,0.0,245.0,89.0,-156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,structural_change_only:routed_tensors_gt_0_65:-156
layer_chunk_to_unified_mechanism,qwen3_moe_layer_chunk_candidate,qwen3_moe_unified_mechanism_candidate,apply router/evidence/geometry-risk optimizer under a retention constraint,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.243454300322247,0.2403784248994999,-0.003075875422747093,0.2518503750156321,0.2486684210403075,-0.003181953975324614,0.6500325043027619,0.6438415286791134,-0.006190975623648565,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,structural_change_only:routed_tensors_gt_0_65:-89
unified_mechanism_to_mechanistic_unified,qwen3_moe_unified_mechanism_candidate,qwen3_moe_mechanistic_unified_candidate,replace hand-weighted cap search with damped benefit/curvature/interference per-expert scale law,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2403784248994999,0.2382255365529426,-0.0021528883465573023,0.2486684210403075,0.2464412854475924,-0.002227135592715118,0.6438415286791134,0.6490630862881142,0.005221557609000782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,awaiting_downstream_eval
unified_mechanism_to_subspace_scaled,qwen3_moe_mechanistic_unified_candidate,qwen3_moe_subspace_scaled_candidate,shrink only uncovered channel/chunk subspace-conflict experts beyond the mechanistic unified cap,awaiting_eval,False,False,,,,,,,,,,,,,,,,,,,0.2382255365529426,0.2395294198409091,0.0013038832879665174,0.2464412854475924,0.2477901361132669,0.0013488506656745003,0.6490630862881142,0.6234276715724305,-0.025635414715683646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,awaiting_downstream_eval
